epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8523.54,1.04639,0.58682,1.26882,0.82408,0.69834,0.7957,0.4945,1.32127,0.62164,1.57023,0.0005941,0.0005941,0.0005941
43,8723.58,1.02485,0.56915,1.25246,0.85706,0.69894,0.80882,0.49171,1.3358,0.6323,1.59112,0.0005842,0.0005842,0.0005842
44,8923.41,1.03346,0.56877,1.26274,0.83767,0.74437,0.80762,0.50231,1.30434,0.63017,1.53621,0.0005743,0.0005743,0.0005743
45,9123.72,1.02581,0.56468,1.25742,0.86723,0.72577,0.81952,0.52462,1.31281,0.6181,1.56453,0.0005644,0.0005644,0.0005644
46,9325.69,0.99742,0.55664,1.24007,0.84845,0.72621,0.80384,0.48846,1.34248,0.6366,1.56146,0.0005545,0.0005545,0.0005545
47,9525.33,1.00833,0.55294,1.24801,0.85045,0.75519,0.81277,0.50996,1.30016,0.61317,1.54823,0.0005446,0.0005446,0.0005446
48,9727.44,0.98855,0.552,1.23912,0.86992,0.71408,0.82238,0.49697,1.31401,0.6181,1.56242,0.0005347,0.0005347,0.0005347
49,9927.58,0.98644,0.53249,1.22557,0.74379,0.7905,0.80035,0.50303,1.32571,0.63821,1.57265,0.0005248,0.0005248,0.0005248
50,10127.2,0.98458,0.54164,1.22324,0.86133,0.76292,0.82582,0.51766,1.31183,0.59859,1.56739,0.0005149,0.0005149,0.0005149
51,10327.3,0.96256,0.52394,1.20396,0.73052,0.78315,0.79949,0.50164,1.30541,0.61194,1.56122,0.000505,0.000505,0.000505
52,10532.5,0.96005,0.52248,1.20679,0.81902,0.79273,0.82799,0.54477,1.29813,0.57482,1.55246,0.0004951,0.0004951,0.0004951
53,10740.7,0.96204,0.51418,1.20325,0.86224,0.74672,0.82154,0.51013,1.2741,0.60167,1.49874,0.0004852,0.0004852,0.0004852
54,10940.6,0.94541,0.50923,1.19323,0.86086,0.76643,0.81154,0.52585,1.27861,0.60542,1.51712,0.0004753,0.0004753,0.0004753
